MAC1,MAC2,duration,frequency
0012f04d7fdc,0012f0c8197c,27.3534743202417,331
00042380963b,00054ef033f7,315.655172413793,29
00042380963b,000c41d7de06,563.914893617021,47
00ae42fbe382,00054ef033f7,678.428571428571,7
00ae42fbe382,000c41d7de06,405.833333333333,18
00054ef033f7,000c41d7de06,265.047404063205,443
00904b815985,0010c674aa3c,1120,3
00054ef033f7,00054e86b2e1,308.190697674419,215
0012f081c713,00054ef033f7,33.1724137931034,87
0012f081c713,004096ed1367,7.35,40
00054ef033f7,004096ed1367,82.5,16
00054ef033f7,0012f0c6a17f,30.8846153846154,338
00054ef033f7,00904b2f31b2,40.7,10
00904b2f31b2,0012f081c713,58.9,10
000d88dd803a,0012f081c713,10,1
000d88dd803a,000625e449be,692.875,8
003065a97bb7,00054ef033f7,384.081632653061,49
000c41d7de06,003065a97bb7,475.38202247191,89
000c41d7de06,000e35fe55ae,94.6222222222222,45
001124eeb582,00904b394021,1,2
001124eeb582,00904bad8a2e,595,1
00022d167a3a,000c41d7de06,293.5,32
000e35fe55ae,00022d167a3a,38,3
00022d167a3a,000b7daae405,188,2
00904b3ac33e,000e358e96a0,674,1
000b7daae405,003065a97bb7,1410,13
001217c93e63,00054ef033f7,525.781818181818,110
00022d167a3a,00054ef033f7,331.9,20
000d93847864,001124759edb,2123.5,4
000e35fe55ae,000d88dd803a,1106,2
0004236ac972,000423cb0bcb,1,1
000423cb0bcb,001279e0ee9e,21,1
000e35b4528e,001124aae2e3,7,1
000d88dd803a,000fb52eee52,1136.5,2
001217c93e63,000d88dd803a,801,2
000c41d7de06,00054e86b2e1,472.338383838384,198
000c41d7de06,000fb52eee52,464.78021978022,91
00054e86b2e1,00042380963b,946.625,32
000fb52eee52,00042380963b,779.454545454545,11
