source,destination,start,fin,AP
11:7e:5d:6b:a8:ad,cb:f6:6a:8b:a8:ad,1093885302,1093886059,1
11:7e:5d:6b:a8:ad,02:c2:f2:4f:a8:ad,1093885280,1093885898,1
11:7e:5d:6b:a8:ad,82:8a:f2:ee:a8:ad,1093885364,1093885967,1
11:7e:5d:6b:a8:ad,07:ee:97:b9:a8:ad,1093885297,1093885852,1
25:84:b1:64:80:db,29:ea:32:cc:80:db,1093885502,1093885955,1
11:7e:5d:6b:a8:ad,9e:ce:30:01:a8:ad,1093885672,1093886021,1
eb:b5:3f:41:b6:b0,00:40:96:a1:2b:89,1093885206,1093885451,0
12:31:8c:2a:b6:b0,95:9b:6a:0d:80:db,1093885453,1093886249,0
11:7e:5d:6b:a8:ad,5a:ff:32:0c:a8:ad,1093885362,1093885951,1
11:7e:5d:6b:a8:ad,90:ff:32:cc:a8:ad,1093885334,1093886054,1
11:7e:5d:6b:a8:ad,68:eb:0c:3f:a8:ad,1093885303,1093886052,1
11:7e:5d:6b:a8:ad,91:ff:32:cc:a8:ad,1093885771,1093885872,1
11:7e:5d:6b:a8:ad,b5:11:32:cc:a8:ad,1093885294,1093886059,1
ff:ff:7f:d0:79:37,ff:ff:ff:ff:ff:ff,1093885293,1093886037,0
6d:d3:23:45:a7:b0,43:c0:ef:8e:a7:b0,1093885511,1093885598,1
25:84:b1:64:80:db,b4:11:32:de:80:db,1093885427,1093886053,1
11:7e:5d:6b:a8:ad,11:60:22:fc:a8:ad,1093885211,1093885674,0
11:7e:5d:6b:a8:ad,95:03:32:0c:a8:ad,1093885725,1093885775,1
6d:d3:23:45:a7:b0,a9:11:32:cc:a7:b0,1093885570,1093885926,1
25:84:b1:64:80:db,75:e2:6a:8b:80:db,1093885418,1093886000,1
6d:d3:23:45:a7:b0,91:ff:32:de:a7:b0,1093885665,1093886039,1
ff:ff:ff:ff:ff:3f,ff:ff:ff:ff:ff:ff,1093885460,1093885892,0
12:31:8c:2a:b6:b0,d4:23:f8:72:80:db,1093885196,1093885578,0
26:c7:53:37:b7:2d,00:0e:d7:87:e0:60,1093886033,1093886036,0
6d:d3:23:45:a7:b0,19:e9:80:8a:a7:b0,1093885823,1093885911,1
11:7e:5d:6b:a8:ad,6c:83:d5:9e:a8:ad,1093885782,1093885909,1
b6:31:ac:c9:12:ee,34:69:f2:fe:b4:fa,1093885313,1093885491,1
25:84:b1:64:80:db,47:5b:4b:13:80:db,1093885749,1093885832,1
11:7e:5d:6b:a8:ad,5b:ff:32:de:a8:ad,1093885682,1093885934,1
11:7e:5d:6b:a8:ad,75:b5:80:8a:a8:ad,1093885315,1093886032,1
25:84:b1:64:80:db,90:ff:32:cc:80:db,1093885570,1093885936,1
25:84:b1:64:80:db,c4:fe:32:de:80:db,1093885468,1093886020,1
6d:d3:23:45:a7:b0,d4:23:f8:e0:a7:b0,1093885437,1093885442,0
11:7e:5d:6b:a8:ad,71:1d:8b:13:a8:ad,1093885545,1093885842,1
11:7e:5d:6b:a8:ad,c1:c2:f2:b3:a8:ad,1093885361,1093885990,1
11:7e:5d:6b:a8:ad,02:fb:1f:4b:a8:ad,1093885563,1093886010,1
12:31:8c:2a:b6:b0,ff:2c:ba:6b:80:db,1093885331,1093886012,1
25:84:b1:64:80:db,9a:ff:32:cc:80:db,1093885372,1093886057,1
25:84:b1:64:80:db,ca:1b:eb:da:80:db,1093885225,1093885851,1
11:7e:5d:6b:a8:ad,d9:c7:bd:00:a8:ad,1093886040,1093886042,1
